amazon_asin,amazon price,is_prime,in_stock,ebay_price,ebay_quantity,ebay_id
B001P1XF1E,$5.59,True,True,120.46,1,142559067261
B013OVKT8E,$38.99,True,True,158.44,1,142559068047
B018LXCS0C,$59.99,True,True,182.31,1,142559068116
B0173MKOKI,$5.36,True,True,120.2,1,142559068751
B00QJWUPC6,$17.49,True,True,133.99,1,142559068797
B01GRIG5WK,$6.39,True,True,121.37,1,142559068803
B000COCRW8,$4.69,True,True,119.45,1,142559069086
B000COBGIO,$5.94,True,True,120.86,1,142559069260
B0017OCGZK,$4.00,True,True,118.65,1,142559069537
B01GRTEKQW,$25.89,True,True,143.54,1,142559070273
B000C18Q3A,$14.99,True,True,131.15,1,142559070364
B0173MKAFW,$6.51,True,True,121.51,1,142559070418
B0173MKGXS,$5.62,True,True,120.49,1,142559070711
B000CR3UXA,$6.24,True,True,121.2,1,142559070755
B0075DNCY6,$7.93,True,True,123.12,1,142559070793
B017B8NHEE,$57.99,True,True,180.04,1,142559070795
B0173MK3Q8,$6.36,True,True,121.34,1,142559070822
B000CO7NGI,$6.00,True,True,120.93,1,142559070840
B00A0FT312,$6.19,True,True,121.14,1,142559070933
B0060ZB2YM,$52.12,True,True,173.36,1,142559071068
B000C920AW,$7.62,True,True,122.77,1,142559071176
B00CAV7T56,$62.92,True,True,185.64,1,142559071326
B000H0QR9G,$8.84,True,True,124.16,1,142559071350
B000COB8KK,$8.75,True,True,124.05,1,142559072112
B00CMWI0GU,$9.99,True,True,125.46,1,142559072249
B008BRJ5FA,$14.70,True,True,130.82,1,142559072545
B01KNXSIYS,$129.99,True,True,261.9,1,142559072564
B002UX5CHG,$48.31,True,True,169.03,1,142559072618
B01KMHIRLO,$45.99,True,True,166.39,1,142559073080
B00XP4PLKW,$5.70,True,True,120.58,1,142559073284
B0002M9URU,$6.17,True,True,121.12,1,142559073314
B000COB8D2,,False,False,,0,142559073329
B01NAJ3IB9,$8.56,True,True,123.84,1,142559073550
B008C8WDR0,$4.79,True,True,119.55,1,142559073959
B00B21R0TA,$29.01,True,True,147.09,1,142559074032
B015WIRRV4,$46.88,True,True,167.41,1,142559074253
B017VORB7M,$15.25,True,True,131.44,1,142559074680
B0711KHMP4,,True,False,,0,142559074736
B00480J482,$6.17,True,True,121.12,1,142559074749
B00GD8OL62,$28.00,True,True,145.94,1,142559074812
B06VYBCFX1,$39.99,True,True,159.57,1,142559075174
B01DZU30S0,$42.99,True,True,162.98,1,142559075568
B01BDBZW3E,$29.99,True,True,148.2,1,142559075621
B002E2WMWG,$22.57,True,True,139.77,1,142559076580
B01MG1MC8Q,$16.99,True,True,133.42,1,142559076815
B004AQZUX2,$11.99,True,True,127.74,1,142559077008
B000VUB4CW,$9.40,True,True,124.79,1,142559077143
B000CO9FF0,$4.26,True,True,118.95,1,142559077573
B0173MKA5M,$5.75,True,True,120.64,1,142559078148
B01M7ZVDU8,$40.95,True,True,160.68,1,142559079709
B003SYWZTE,$6.98,True,True,122.04,1,142559080989
B00NGFUHOU,,True,False,,0,142561119169
B01CD2AIV8,$38.55,True,True,157.94,1,142561119184
B018G9ZKBK,$39.99,True,True,159.57,1,142561119408
B008HVHZBG,$92.99,True,True,219.83,1,142561119590
B000IGAM9U,,True,False,,0,142561119610
B00E5VEBK0,$13.28,True,True,129.2,1,142561119660
B003LUECG4,$72.44,True,True,196.47,1,142561119675
B00P8E14K8,$64.79,True,True,187.78,1,142561119725
B0047O2M56,$119.99,True,True,250.53,1,142561119800
B001FXVJ1U,$34.99,True,True,153.89,1,142561119841
B0011BDPX6,$21.93,True,True,139.04,1,142561119930
B00D5FS7HA,$24.99,True,True,142.52,1,142561120002
B000627RGM,$15.35,True,True,131.56,1,142561120014
B000IGCBVW,$12.22,True,True,128.0,1,142561120087
B0064F9YEI,,True,False,,0,142561120165
B001L7D05I,$12.99,True,True,128.87,1,142561120181
B00LEO7W7U,$29.99,True,True,148.2,1,142561120504
B007U2AYG6,$112.39,True,True,241.89,1,142561120645
B002SC323K,$21.95,True,True,139.06,1,142561120783
B003ZTWYXY,$20.30,True,True,137.19,1,142561120822
B013X8N0FW,$14.99,True,True,131.15,1,142561122274
B00120NNCY,$11.36,True,True,127.02,1,142561377509
B0094IZ3BA,$4.27,True,True,118.96,1,142561687647
B06X6GPT48,$19.99,True,True,136.83,1,142561693369
B07312V7QB,$19.99,True,True,136.83,1,142561693446
B0073H2QL4,$23.95,True,True,141.34,1,142562861896
B00JRPDW7M,$56.99,True,True,178.9,1,142562886489
B071GRT47Q,$109.50,True,True,238.61,1,142563225915
B00TGQ5G8A,$35.80,True,True,154.81,1,142563260411
B01N9YHRAC,$249.99,True,True,398.34,1,142563892938
B01M8NVBM1,$79.99,True,True,205.05,1,142563896377
B06Y11VVCJ,$399.99,True,True,568.9,1,142563897429
B01G93J4VC,$166.99,True,False,,0,142563897871
B00005A443,$22.99,True,True,140.24,1,142567269430
B01IIIJLBO,$7.95,True,True,123.14,1,142568508064
B00CF3R3W8,$6.80,True,True,121.84,1,142568508305
B003YKF2JC,$13.49,True,True,129.44,1,142568508577
B00OABQCES,$98.95,True,True,226.61,1,142568508903
B00O4CJVEQ,$55.95,True,True,177.72,1,142568509437
B00I0ZGOZM,$199.00,True,True,340.37,1,142568510058
B00HRHHFPW,$299.95,True,True,455.15,1,142568512036
B00N2941T2,$321.36,True,True,479.49,1,142568513800
B00NWZ1RCK,$229.95,True,True,375.56,1,142568515372
B000SC245E,$117.51,True,True,247.71,1,142571879469
B01JINOV04,$11.29,True,True,126.94,1,142572386791
B00HSE4WJG,$10.00,True,True,125.47,1,142572388860
B01MQ4YOPR,$8.87,True,True,124.19,1,142572393477
B00ARKQG3I,$8.98,True,True,124.31,1,142572394841
B017B9SSOW,$7.99,True,True,123.19,1,142572395647
B01F36JBDM,$7.99,True,True,123.19,1,142572396425
B01BSB5I06,$3.79,True,True,118.41,1,142572396753
B01DYQM6EO,$9.87,True,True,125.33,1,142573081370
B017RX7GWW,$9.87,True,True,125.33,1,142573081476
B075ZVQVSY,$24.87,True,True,142.38,1,142573081485
B01DYQCXRO,$8.87,True,True,124.19,1,142573081514
B01LYFJ6PE,$7.87,True,True,123.05,1,142573081607
B01D3QEXDM,,True,False,,0,142573081638
B01NAUV18K,$14.87,True,True,131.01,1,142573081720
B002B4I98I,$2.44,True,True,116.88,1,142573081797
B001TSB9MA,$6.61,True,True,121.62,1,142573081807
B00K5967BW,$4.23,True,True,118.92,1,142573081821
B005PU0M44,$3.00,True,True,117.51,1,142573081823
B0012E0REM,$5.99,True,True,120.91,1,142573081847
B01LXS3AKR,$10.00,True,True,125.47,1,142573081858
B001QX4GDC,$5.99,True,True,120.91,1,142573081938
B01D3MS94A,$14.87,True,True,131.01,1,142573081963
B01BXX34D2,$8.99,True,True,124.33,1,142573081968
B003SQB7WS,$4.37,True,True,119.07,1,142573082057
B01HEVDLZI,$5.99,True,True,120.91,1,142573082064
B00V4P0IA2,$6.99,True,True,122.05,1,142573082130
B01FQPUR2E,$6.99,True,True,122.05,1,142573082241
B00GNA9WG4,$9.96,True,True,125.44,1,142573082245
B00ZR5WVFK,$5.69,True,True,120.57,1,142573082246
B01M1D17AW,$24.87,True,True,142.38,1,142573082258
B072227LC5,$5.20,True,True,120.02,1,142573082287
B017RZ918W,$9.87,True,True,125.33,1,142573082291
B00373HS7K,$5.49,True,True,120.35,1,142573082293
B00JYH2EHC,$4.97,True,True,119.75,1,142573082297
B01MTJ44CV,$8.99,True,True,124.33,1,142573082316
B073W8Q3SD,$6.99,True,True,122.05,1,142573082335
B06Y41CJRK,$4.57,True,True,119.3,1,142573082347
B000N5P4B2,$6.57,True,True,121.57,1,142573082379
B01FIL5AVO,$4.49,True,True,119.21,1,142573082380
B00UWH1CO4,$11.99,True,True,127.74,1,142573082443
B00F973S12,$9.97,True,True,125.45,1,142573082462
B019YLZKSW,$8.95,True,True,124.28,1,142573082466
B0732ML3BS,$8.99,True,True,124.33,1,142573082467
B003UBTYKI,$5.97,True,True,120.89,1,142573082470
B01MDOBPKO,$7.99,True,True,123.19,1,142573082508
B06ZYFNSXX,,True,False,,0,142573082511
B017VDI0GY,$11.87,True,True,127.6,1,142573082562
B01L2HLEC2,$2.39,True,True,116.82,1,142573082567
B01EWBYUDU,$6.99,True,True,122.05,1,142573082578
B00KBYHN0U,$9.95,True,True,125.42,1,142573082672
B06XS4J8C1,$8.87,True,True,124.19,1,142573082704
B0001I8ZT4,$5.96,True,True,120.88,1,142573082713
B01DYPY0E4,$8.87,True,True,124.19,1,142573082714
B00R7FLSYS,$9.99,True,True,125.46,1,142573082748
B0002Z8QHC,$10.27,True,True,125.78,1,142573082754
B01E6ZFKAO,$20.99,True,True,137.97,1,142573082758
B01CR4AT1Q,$9.66,True,True,125.09,1,142573082796
B007ROGQ3C,$8.25,True,True,123.48,1,142573082802
B009S3PZBO,,True,False,,0,142573082807
B074N3GY25,$6.99,True,True,122.05,1,142573082868
B01LX4ND65,$25.87,True,True,143.52,1,142573082892
B0747N5DF4,$5.59,True,True,120.46,1,142573082951
B018S8XSVI,$8.45,True,True,123.71,1,142573082976
B003SPQ2GA,$4.99,True,True,119.78,1,142573083007
B00MZT4UEG,$4.48,True,True,119.21,1,142573083026
B00MU3TTHU,$7.89,True,True,123.07,1,142573083137
B019UN75AK,$2.89,True,True,117.39,1,142573083232
B01DCXXGFC,$6.95,True,True,122.01,1,142573083238
B01G3AS462,$9.39,True,True,124.78,1,142573083253
B0173H85KO,$9.99,True,True,125.46,1,142573083327
B071WD8GCN,$19.87,True,True,136.7,1,142573083379
B00H3MATM2,$8.88,True,True,124.21,1,142573083400
B00I3VHKVK,$6.99,True,True,122.05,1,142573083465
B0738R9HPN,,True,False,,0,142573083475
B001ESJ0BC,$5.11,True,True,119.93,1,142573083546
B01I40ZQWE,$19.87,True,True,136.7,1,142573083646
B06Y6LKR8J,$4.99,True,True,119.78,1,142573083658
B01N1MJY10,$4.99,True,True,119.78,1,142573083670
B01KMM7PA8,$14.00,True,True,130.02,1,142573083673
B00NXKRGLU,$6.99,True,True,122.05,1,142573083685
B0016ISD04,$4.98,True,True,119.78,1,142573083747
B00RTFT08W,$9.97,True,True,125.45,1,142573083798
B01D1DRA3C,$6.00,True,True,120.93,1,142573083801
B01EO2KLE4,$0.99,True,True,115.23,1,142573083822
B01BKKQ7ZK,$0.79,True,True,115.0,1,142573083857
B01N4GK379,$9.99,True,True,125.46,1,142573083874
B009YYUGQQ,$3.00,True,True,117.51,1,142573083892
B00011JOQY,$6.20,True,True,121.15,1,142573083916
B00WAJBG5C,$2.00,True,True,116.38,1,142573083931
B0047ZIN5S,$11.00,True,True,126.61,1,142573083963
B01EO2KP2M,$1.69,True,True,116.03,1,142573084008
B01DJOUEIQ,$9.77,True,True,125.21,1,142573084043
B00016RIIA,$9.45,True,True,124.85,1,142573084053
B076P82MVF,$6.99,True,True,122.05,1,142573084106
B000VUF20M,$4.49,True,True,119.21,1,142573084109
B071F2D6XX,$7.59,True,True,122.73,1,142573084112
B06WLKMW7N,$5.99,True,True,120.91,1,142573084125
B002KMIL48,$8.67,True,True,123.96,1,142573084234
B00133HK3I,$3.79,True,True,118.41,1,142573084238
B00B0GPI4G,$6.47,True,True,121.46,1,142573084245
B0007N5758,$5.49,True,True,120.35,1,142573084296
B01DJPBMT0,,True,False,,0,142573084419
B002YXXZQM,$9.99,True,True,125.46,1,142573084434
B01HV5R34C,$5.99,True,True,120.91,1,142573084604
B06W54XW3V,$6.00,True,True,120.93,1,142573084618
B012VN72NQ,$9.99,True,True,125.46,1,142573084637
B001MX89Y8,$7.97,True,True,123.17,1,142573084710
B008GHFFV8,$7.23,True,True,122.32,1,142573084730
B01CXPTMDU,$5.95,True,True,120.87,1,142573084734
B017QSVA3E,$5.99,True,True,120.91,1,142573084785
B01L9WSTEG,$33.87,True,True,152.61,1,142573084821
B0171AQJ2E,$5.99,True,True,120.91,1,142573084837
B018FYTG70,$9.90,True,True,125.36,1,142573084872
B0030HMQTS,$7.20,True,False,,0,142573084882
B01EJGV99G,$9.87,True,True,125.33,1,142573084883
B017S3XKHQ,$25.87,True,True,143.52,1,142573084941
B00RCK2JAU,$9.99,True,True,125.46,1,142573084977
B016I77CJA,$8.99,True,True,124.33,1,142573084985
B01G4UVWE2,$7.99,True,True,123.19,1,142573085052
B01DYQ5T3O,$8.87,True,True,124.19,1,142573085089
B014QXKQ5U,$5.99,True,True,120.91,1,142573085131
B00VRF4TNQ,$6.99,True,True,122.05,1,142573085158
B01KLFNQ8Q,$5.99,True,True,120.91,1,142573085167
B01EJM1XPU,,True,False,,0,142573085189
B019C0U3KK,$8.59,True,True,123.87,1,142573085245
