amazon_asin,amazon price,is_prime,in_stock,ebay_price,ebay_quantity,ebay_id
B000I1RQZ8,$4.17,True,True,7.48,1,263288530633
B000M8Q02M,$10.62,True,True,17.36,1,263288530644
B013X8N2C8,$22.99,True,True,37.06,1,263288530951
B003MVPQN0,$3.49,True,True,6.7,1,263288530958
B000F09CEA,$21.70,True,True,35.0,1,263288530968
B01E16SA9G,$10.98,True,True,17.94,1,263288531110
B0006OLG58,$11.15,True,True,18.21,1,263288531381
B000NVW1LM,$12.98,True,True,21.12,1,263288532119
B01967S720,$12.95,True,True,21.07,1,263288532128
B00005N9D3,$16.73,True,True,27.09,1,263288532151
B000RIZ9EW,$2.09,True,True,5.11,1,263288532257
B00GRSOJSS,$7.40,True,True,12.24,1,263288532285
B00466H6X8,$7.12,True,True,11.79,1,263288532318
B000FW62YQ,$6.34,True,True,10.55,1,263288532319
B00EUGCT22,$4.49,True,True,7.84,1,263288532415
B000ZZWNYG,$3.97,True,True,7.25,1,263288532423
B000I2079E,$3.76,True,True,7.01,1,263288532482
B000BPTVTK,$4.97,True,True,8.38,1,263288532486
B000HJBKMQ,$4.69,True,True,8.08,1,263288532745
B0019DEBS4,$9.99,True,True,16.36,1,263288532760
B01GJC4WRO,$7.99,True,True,13.18,1,263288533038
B000IYTCG6,$13.99,True,True,22.73,1,263288533069
B0051D3MP6,,,,,0,263288533170
B0010E00T6,$16.55,True,True,26.8,1,263288533223
B0084AWBRS,$5.99,True,True,9.99,1,263288533602
B014881T2C,$9.99,True,True,16.36,1,263288534267
B000087KUA,$23.44,True,True,37.77,1,263288534621
B000BXOGNI,,True,False,,0,263288586278
133813437X,$6.17,True,True,10.28,1,263288586289
B00200EFJA,$3.10,True,True,6.26,1,263288586455
B00004RBDU,$5.21,True,True,8.75,1,263288586529
B000P1E7ZS,$7.79,True,True,12.86,1,263288587049
B01LX8GCZ5,$14.99,True,True,24.32,1,263288587131
B00631GSSI,$8.99,True,True,14.77,1,263288587308
B00004UDJX,$9.99,True,True,16.36,1,263288587482
B00416DLOQ,$7.97,True,True,13.15,1,263288588020
B0002KKTT0,$8.16,True,True,13.45,1,263288588046
B0018NBUU2,$5.69,True,True,9.52,1,263288588058
B001E4E3KY,$3.59,True,True,6.82,1,263288588887
B000AL8VD2,$5.19,True,True,8.72,1,263288588944
B000BRQ0TW,$4.61,True,True,7.99,1,263288589885
B001Z3C3AG,$4.97,True,True,8.38,1,263288590302
B00H56KCUU,$3.89,True,True,7.16,1,263288624546
B00HFJWKWK,$29.99,True,True,48.2,1,263288626473
B000FW7VGE,$7.79,True,True,12.86,1,263288647866
B003542HE0,$4.99,True,True,8.41,1,263288648154
B005177XU2,$6.29,True,True,10.47,1,263288649203
B00ARKS3XO,$19.94,True,True,32.22,1,263288649481
B003IOITIK,,True,False,,0,263288739554
B0049VXDAU,$12.00,True,True,19.56,1,263288739996
B00APAQSP6,$27.99,True,True,45.01,1,263288740102
B00CC6XSSQ,$6.34,True,True,10.55,1,263288740617
B01N8PPY1H,,True,False,,0,263288740804
B004MMEHKQ,$2.98,True,True,6.12,1,263288740884
